Row,scenario,fracPos,fracNeg,rho_sign,FDRmethod,numTests,numRealizations,effectSize,CImethod,q,alpha,seed,BothSides_canonical_mean,BothSides_canonical_lower,BothSides_canonical_upper,BothSides_combined_mean,BothSides_combined_lower,BothSides_combined_upper,BothSides_twotailed_mean,BothSides_twotailed_lower,BothSides_twotailed_upper,BothSides_split2tail_mean,BothSides_split2tail_lower,BothSides_split2tail_upper,BothSides_old_mean,BothSides_old_lower,BothSides_old_upper,BothSides_question11_mean,BothSides_question11_lower,BothSides_question11_upper,BothSides_question12_mean,BothSides_question12_lower,BothSides_question12_upper,PosSide_canonical_mean,PosSide_canonical_lower,PosSide_canonical_upper,PosSide_combined_mean,PosSide_combined_lower,PosSide_combined_upper,PosSide_twotailed_mean,PosSide_twotailed_lower,PosSide_twotailed_upper,PosSide_split2tail_mean,PosSide_split2tail_lower,PosSide_split2tail_upper,PosSide_old_mean,PosSide_old_lower,PosSide_old_upper,PosSide_question11_mean,PosSide_question11_lower,PosSide_question11_upper,PosSide_question12_mean,PosSide_question12_lower,PosSide_question12_upper,NegSide_canonical_mean,NegSide_canonical_lower,NegSide_canonical_upper,NegSide_combined_mean,NegSide_combined_lower,NegSide_combined_upper,NegSide_twotailed_mean,NegSide_twotailed_lower,NegSide_twotailed_upper,NegSide_split2tail_mean,NegSide_split2tail_lower,NegSide_split2tail_upper,NegSide_old_mean,NegSide_old_lower,NegSide_old_upper,NegSide_question11_mean,NegSide_question11_lower,NegSide_question11_upper,NegSide_question12_mean,NegSide_question12_lower,NegSide_question12_upper,elapsed
bh_indep_balanced,4,0.25,0.25,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.025946513827359,0.0257063254087714,0.0261867022459466,0.0259182938341543,0.0256776862437885,0.02615890142452,0.0259182938341543,0.0256776862437885,0.02615890142452,0.0259363751567477,0.0256960728227515,0.0261766774907438,0.013506282581747,0.0133113593837306,0.0137012057797634,0.0134616809478019,0.0132667681443947,0.0136565937512091,0.0134741776786694,0.0132793744338983,0.0136689809234405,0.0250933568550112,0.0247543549391836,0.0254323587708388,0.0251366670019513,0.0247975831942823,0.0254757508096203,0.0251366670019513,0.0247975831942823,0.0254757508096203,0.0250905921990757,0.0247515481465561,0.0254296362515952,0.0125543902114259,0.0122872429540454,0.0128215374688063,0.0125189262559348,0.0122533878483434,0.0127844646635261,0.0125271114413245,0.0122607400013948,0.0127934828812542,0.0267165139392718,0.0263617924463259,0.0270712354322178,0.0266492936197108,0.0263002702867267,0.0269983169526949,0.0266492936197108,0.0263002702867267,0.0269983169526949,0.0266994314931274,0.0263449921397012,0.0270538708465537,0.0143944530156905,0.0141108298861815,0.0146780761451996,0.0143438831870478,0.0140605595246271,0.0146272068494685,0.0143575259775623,0.014073948283193,0.0146411036719317,5.86180575
bh_indep_negonly,3,0,0.25,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.03962566171255,0.0391938421553989,0.040057481269701,0.0391389915720083,0.0386735252118848,0.0396044579321319,0.0391389915720083,0.0386735252118848,0.0396044579321319,0.0320345096251058,0.0316416375896086,0.032427381660603,0.0206809714152431,0.0203479364818971,0.0210140063485891,0.0168342117461132,0.0165253503488684,0.017143073143358,0.0206562274192012,0.0203235602177121,0.0209888946206904,0.0325,0.024726638566837,0.040273361433163,0.998,0.996041507276008,0.999958492723992,0.998,0.996041507276008,0.999958492723992,0.045,0.0359123909234041,0.0540876090765959,0.0155,0.0100847887505674,0.0209152112494326,0.0205,0.0142881516512901,0.0267118483487099,0.0155,0.0100847887505674,0.0209152112494326,0.0395392928595477,0.0391087105330527,0.0399698751860427,0.0209515182237856,0.0206161796509262,0.0212868567966449,0.0209515182237856,0.0206161796509262,0.0212868567966449,0.0319023607004465,0.0315114112336323,0.0322933101672606,0.020631692338849,0.0202993709994562,0.0209640136782418,0.0167643351788317,0.0164561824583137,0.0170724878993498,0.0206069167723803,0.0202749743895252,0.0209388591552354,4.935638375
bh_indep_null,1,0,0,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.091,0.0783920542417641,0.103607945758236,0.0555,0.0454633410554396,0.0655366589445604,0.0555,0.0454633410554396,0.0655366589445604,0.092,0.0793299440734722,0.104670055926528,0.0555,0.0454633410554396,0.0655366589445604,0.0555,0.0454633410554396,0.0655366589445604,0.0555,0.0454633410554396,0.0655366589445604,0.049,0.039536974890931,0.058463025109069,0.03,0.022521953033424,0.037478046966576,0.03,0.022521953033424,0.037478046966576,0.05,0.0404459282431492,0.0595540717568508,0.0285,0.0212056679969293,0.0357943320030707,0.0285,0.0212056679969293,0.0357943320030707,0.0285,0.0212056679969293,0.0357943320030707,0.0455,0.0363644361217982,0.0546355638782018,0.029,0.0216438545484803,0.0363561454515197,0.029,0.0216438545484803,0.0363561454515197,0.0455,0.0363644361217982,0.0546355638782018,0.027,0.0198947396457569,0.0341052603542431,0.027,0.0198947396457569,0.0341052603542431,0.027,0.0198947396457569,0.0341052603542431,4.89236925
bh_indep_posonly,2,0.25,0,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0372899172058521,0.0368555750713165,0.0377242593403876,0.0375468121324806,0.0370761269375934,0.0380174973273678,0.0375468121324806,0.0370761269375934,0.0380174973273678,0.0298959490543669,0.0294983663214344,0.0302935317872994,0.0187350908579079,0.0184027708495852,0.0190674108662305,0.0150501209850242,0.0147454335501029,0.0153548084199456,0.0186916669704331,0.0183600564940348,0.0190232774468313,0.0371979443108617,0.0367634224679297,0.0376324661537937,0.0190258833131502,0.0186943139675302,0.0193574526587702,0.0190258833131502,0.0186943139675302,0.0193574526587702,0.0297603939439948,0.0293634466100068,0.0301573412779828,0.0186839643747569,0.0183519790637411,0.0190159496857727,0.0149730647425121,0.0146689639137619,0.0152771655712623,0.0186405104618789,0.0183092294739495,0.0189717914498084,0.0345,0.0264993111554503,0.0425006888445497,0.9965,0.993911105411854,0.999088894588146,0.9965,0.993911105411854,0.999088894588146,0.045,0.0359123909234041,0.0540876090765959,0.0165,0.0109156729104322,0.0220843270895678,0.023,0.0164286758008165,0.0295713241991835,0.0165,0.0109156729104322,0.0220843270895678,4.89876283333333
bh_indep_unbalanced,5,0.1,0.4,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0260328462192591,0.0257916623118061,0.026274030126712,0.0259310016088271,0.0256906954249914,0.0261713077926628,0.0259310016088271,0.0256906954249914,0.0261713077926628,0.0232343613982265,0.0230070672758153,0.0234616555206377,0.0136221969578189,0.0134354507072885,0.0138089432083494,0.012077972769808,0.0119004557679737,0.0122554897716424,0.0135781825284073,0.0133916202312208,0.0137647448255938,0.0251185604587816,0.0245031004401521,0.0257340204774111,0.0600703640434716,0.0592781426763136,0.0608625854106296,0.0600703640434716,0.0592781426763136,0.0608625854106296,0.0359517417102878,0.0352551766486964,0.0366483067718792,0.0127032381459256,0.0122171700041048,0.0131893062877463,0.0180060803223453,0.0174557474141212,0.0185564132305694,0.0126911942247642,0.0122051246709881,0.0131772637785403,0.0261548660672914,0.0258918291476851,0.0264179029868976,0.0169451982572848,0.0167283227646777,0.0171620737498919,0.0169451982572848,0.0167283227646777,0.0171620737498919,0.0204070664987276,0.020172876069449,0.0206412569280062,0.0137586321783874,0.0135551910174261,0.0139620733393487,0.0108215218316669,0.0106389436446352,0.0110041000186986,0.0137092774499515,0.0135060301609146,0.0139125247389884,4.97382754166667
bh_posdep_balanced,9,0.25,0.25,1,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0261211531894028,0.0258788688863524,0.0263634374924532,0.0260628779729436,0.0258211944248889,0.0263045615209984,0.0260628779729436,0.0258211944248889,0.0263045615209984,0.0260787385402157,0.0258363568110157,0.0263211202694157,0.0136858812138346,0.0134896028531321,0.013882159574537,0.0136581001702796,0.013462110838498,0.0138540895020611,0.0136612714053508,0.0134654509539208,0.0138570918567808,0.0250094670078611,0.0246626585810023,0.02535627543472,0.0250044659884182,0.0246631768797839,0.0253457550970526,0.0250044659884182,0.0246631768797839,0.0253457550970526,0.0250071732546886,0.0246636159792454,0.0253507305301317,0.0126037179515797,0.0123335146081225,0.0128739212950369,0.0125958658197315,0.0123256748482253,0.0128660567912378,0.0125808549259615,0.0123110815283839,0.012850628323539,0.0271188906472998,0.0267613666768128,0.0274764146177869,0.0270503098956619,0.0266986496979406,0.0274019700933832,0.0270503098956619,0.0266986496979406,0.0274019700933832,0.0270497629719727,0.0266946489698574,0.0274048769740879,0.0146925471352777,0.0144049245926681,0.0149801696778874,0.0146540593504112,0.0143681201736663,0.0149399985271562,0.0146659451085082,0.0143786584624899,0.0149532317545266,5.01443891666667
bh_posdep_negonly,8,0,0.25,1,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0395023194852512,0.0390633332087712,0.0399413057617311,0.0394380054880291,0.0389777897607303,0.0398982212153279,0.0394380054880291,0.0389777897607303,0.0398982212153279,0.0320987811613041,0.0316978600433416,0.0324997022792666,0.0208801785048951,0.0205393301716222,0.0212210268381681,0.0172083459168846,0.0168896284537949,0.0175270633799743,0.0208453570459539,0.0205044303028692,0.0211862837890387,0.0435,0.0345581205707507,0.0524418794292493,0.998,0.996041507276008,0.999958492723992,0.998,0.996041507276008,0.999958492723992,0.057,0.0468366947835841,0.0671633052164159,0.02,0.0138628077260602,0.0261371922739398,0.028,0.0207680761900444,0.0352319238099556,0.02,0.0138628077260602,0.0261371922739398,0.0393874621457208,0.0389490389284241,0.0398258853630174,0.0211185384235229,0.02077644504085,0.0214606318061958,0.0211185384235229,0.02077644504085,0.0214606318061958,0.0319346223661617,0.0315349257211227,0.0323343190112008,0.0208186527008903,0.0204783212669436,0.021158984134837,0.0171171159123171,0.0167997942726692,0.0174344375519651,0.0207838183520001,0.020443421666144,0.0211242150378561,4.97061841666667
bh_posdep_null,6,0,0,1,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0905,0.0779232816479987,0.103076718352001,0.044,0.0350092281251111,0.0529907718748889,0.044,0.0350092281251111,0.0529907718748889,0.0905,0.0779232816479987,0.103076718352001,0.043,0.0341073358489683,0.0518926641510317,0.0435,0.0345581205707507,0.0524418794292493,0.043,0.0341073358489683,0.0518926641510317,0.055,0.0450060092541416,0.0649939907458584,0.027,0.0198947396457569,0.0341052603542431,0.027,0.0198947396457569,0.0341052603542431,0.055,0.0450060092541416,0.0649939907458584,0.0245,0.017722986152937,0.031277013847063,0.025,0.018155936880975,0.031844063119025,0.0245,0.017722986152937,0.031277013847063,0.0395,0.0309613556187091,0.0480386443812909,0.021,0.0147144586579749,0.0272855413420251,0.021,0.0147144586579749,0.0272855413420251,0.04,0.0314097202717122,0.0485902797282878,0.0195,0.0134384624671529,0.0255615375328471,0.0195,0.0134384624671529,0.0255615375328471,0.0195,0.0134384624671529,0.0255615375328471,4.95656745833333
bh_posdep_posonly,7,0.25,0,1,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0374914838345053,0.0370569835279468,0.0379259841410637,0.0376563653289033,0.0371918890971205,0.0381208415606861,0.0376563653289033,0.0371918890971205,0.0381208415606861,0.029940613606234,0.0295447581927529,0.0303364690197152,0.0188413805140203,0.0185010232627604,0.0191817377652802,0.0151631198953805,0.0148491246859661,0.0154771151047949,0.0188001152702344,0.0184597919114918,0.019140438628977,0.0373786287948507,0.0369454638934297,0.0378117936962717,0.0190972261888533,0.0187560821497025,0.019438370228004,0.0190972261888533,0.0187560821497025,0.019438370228004,0.0297878421847197,0.0293939809000449,0.0301817034693945,0.0187801878200231,0.018440545651011,0.0191198299890352,0.0150801980780137,0.0147672148354585,0.0153931813205689,0.0187388916584695,0.0183993009833958,0.0190784823335432,0.042,0.033206756621173,0.050793243378827,0.9975,0.99531088714896,0.99968911285104,0.9975,0.99531088714896,0.99968911285104,0.052,0.0422669818229962,0.0617330181770038,0.02,0.0138628077260602,0.0261371922739398,0.0255,0.0185896076503584,0.0324103923496416,0.02,0.0138628077260602,0.0261371922739398,4.56761920833333
bh_posdep_unbalanced,10,0.1,0.4,1,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0259239049100041,0.0256736859131246,0.0261741239068837,0.0260126878737499,0.0257531341467178,0.0262722416007819,0.0260114061382751,0.0257518472355301,0.0262709650410201,0.0231621431126964,0.0229211026275896,0.0234031835978032,0.0135670106018999,0.013374115893293,0.0137599053105068,0.0120490177352411,0.0118654914170919,0.0122325440533904,0.013534906119357,0.01334210195382,0.013727710284894,0.0252090605914858,0.0245836598610672,0.0258344613219044,0.0604212850987839,0.059595257412756,0.0612473127848118,0.0604212850987839,0.059595257412756,0.0612473127848118,0.0359399222197478,0.0352471800689893,0.0366326643705064,0.0127753462257212,0.0122890789188064,0.0132616135326361,0.0180077887517864,0.0174660676981622,0.0185495098054106,0.0127587144341619,0.012272647801061,0.0132447810672628,0.0259916510113982,0.0257138922493682,0.0262694097734282,0.0169298909072041,0.0166982884523326,0.0171614933620756,0.0169298909072041,0.0166982884523326,0.0171614933620756,0.0203064294085759,0.0200587359921519,0.020554122825,0.0136671453152383,0.0134560572658526,0.013878233364624,0.0107666655660422,0.0105741473126892,0.0109591838193952,0.0136324674749816,0.013421583924331,0.0138433510256323,4.50263608333333
