Row,scenario,fracPos,fracNeg,rho,FDRmethod,numTests,numRealizations,effectSize,CImethod,q,alpha,seed,BothSides_canonical_mean,BothSides_canonical_lower,BothSides_canonical_upper,BothSides_combined_mean,BothSides_combined_lower,BothSides_combined_upper,BothSides_twotailed_mean,BothSides_twotailed_lower,BothSides_twotailed_upper,BothSides_split2tail_mean,BothSides_split2tail_lower,BothSides_split2tail_upper,BothSides_old_mean,BothSides_old_lower,BothSides_old_upper,BothSides_question11_mean,BothSides_question11_lower,BothSides_question11_upper,BothSides_question12_mean,BothSides_question12_lower,BothSides_question12_upper,PosSide_canonical_mean,PosSide_canonical_lower,PosSide_canonical_upper,PosSide_combined_mean,PosSide_combined_lower,PosSide_combined_upper,PosSide_twotailed_mean,PosSide_twotailed_lower,PosSide_twotailed_upper,PosSide_split2tail_mean,PosSide_split2tail_lower,PosSide_split2tail_upper,PosSide_old_mean,PosSide_old_lower,PosSide_old_upper,PosSide_question11_mean,PosSide_question11_lower,PosSide_question11_upper,PosSide_question12_mean,PosSide_question12_lower,PosSide_question12_upper,NegSide_canonical_mean,NegSide_canonical_lower,NegSide_canonical_upper,NegSide_combined_mean,NegSide_combined_lower,NegSide_combined_upper,NegSide_twotailed_mean,NegSide_twotailed_lower,NegSide_twotailed_upper,NegSide_split2tail_mean,NegSide_split2tail_lower,NegSide_split2tail_upper,NegSide_old_mean,NegSide_old_lower,NegSide_old_upper,NegSide_question11_mean,NegSide_question11_lower,NegSide_question11_upper,NegSide_question12_mean,NegSide_question12_lower,NegSide_question12_upper,elapsed
bky_indep_balanced_pwr,4,0.25,0.25,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.799759,0.798964007533165,0.800553992466835,0.7997635,0.798970525290646,0.800556474709354,0.852388500000001,0.851542186939544,0.853234813060457,0.8523545,0.851510845219913,0.853198154780088,0.6755565,0.674678070162666,0.676434929837334,0.7189655,0.718038919065062,0.719892080934939,0.6759915,0.675112038616835,0.676870961383165,0.799771985808122,0.798650033889428,0.800893937726817,0.799964517358848,0.798956077641632,0.800972957076063,0.852719496255059,0.851686566626766,0.853752425883352,0.852598844454046,0.851408030235354,0.853789658672738,0.799771985808122,0.798650033889428,0.800893937726817,0.719350192508795,0.718024453448036,0.720675931569554,0.67634110524681,0.675083821673317,0.677598388820303,0.801908454446387,0.800801706012925,0.803015202879849,0.801725581634577,0.80072761160071,0.802723551668443,0.854362491669635,0.853336424165222,0.855388559174047,0.854415677928438,0.853238894370591,0.855592461486286,0.67700483628317,0.675768933376214,0.678240739190126,0.720526357223049,0.71920730593508,0.721845408511018,0.67747038615492,0.676233349528652,0.678707422781187,128.978591541667
bky_indep_negonly_pwr,3,0,0.25,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.816922,0.815757485348018,0.818086514651982,0.683465,0.682191902914397,0.684738097085602,0.703218,0.701907817707687,0.704528182292313,0.802651,0.801402396765992,0.803899603234008,0.683107999999999,0.681858305935026,0.684357694064973,0.664667999999999,0.663338611296035,0.665997388703964,0.683535999999999,0.682286976281526,0.684785023718473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.817913146082384,0.816746988445947,0.819079303718822,0.67050153532222,0.669278641498046,0.671724429146394,0.688454395294631,0.687207914948561,0.689700875640701,0.803599806967395,0.80234927793893,0.804850335995859,0.683970087470698,0.682720108191906,0.68522006674949,0.665492809057073,0.664162941662305,0.66682267645184,0.684398657398575,0.683149334135203,0.685647980661948,100.047528375
bky_indep_null_pwr,1,0,0,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.4863729166667
bky_indep_posonly_pwr,2,0.25,0,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.813957,0.812786695767958,0.815127304232042,0.681593,0.680276234033254,0.682909765966745,0.701099,0.699742536989679,0.702455463010322,0.799757,0.798510454082384,0.801003545917615,0.680914,0.679628049210559,0.682199950789441,0.662883,0.661516321361205,0.664249678638794,0.681382999999999,0.680096728926342,0.682669271073657,0.81499494478289,0.81382522147822,0.816164668087559,0.668745604761536,0.667486261099579,0.670004948423494,0.686397346640559,0.685112892085672,0.687681801195445,0.800737443110679,0.799491199346975,0.801983686874382,0.81499494478289,0.81382522147822,0.816164668087559,0.663740971680039,0.662372512697938,0.66510943066214,0.682276658074943,0.680989237550037,0.683564078599849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.6986273333333
bky_indep_unbalanced_pwr,5,0.1,0.4,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.841365500000001,0.840625459183028,0.842105540816973,0.8002355,0.799452524895078,0.801018475104922,0.85292,0.852079553050367,0.853760446949634,0.870504000000001,0.869704781260687,0.871303218739314,0.722457000000001,0.72160691968778,0.723307080312221,0.74116,0.740247485557262,0.742072514442738,0.723230500000001,0.72238120536157,0.724079794638431,0.631703776083154,0.629726232641248,0.633681319525061,0.837554269409525,0.835977476530967,0.839131062288083,0.907192196031173,0.905524832366643,0.908859559695703,0.731109320650837,0.729063674406247,0.733154966895426,0.631703776083154,0.629726232641248,0.633681319525061,0.590931020582583,0.588793326195176,0.59306871496999,0.505048274262406,0.502954550357971,0.507141998166841,0.89521579117561,0.894424644641203,0.896006937710018,0.792268987556196,0.791453579565004,0.793084395547388,0.840804418278098,0.839953164836223,0.841655671719973,0.906837321922659,0.905950462352813,0.907724181492505,0.778064874203229,0.777161974313965,0.778967774092493,0.779980748686402,0.778973648234889,0.780987849137914,0.779009911972233,0.778106874161815,0.779912949782651,126.753280791667
bky_posdep_balanced_pwr,9,0.25,0.25,0.25,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.783146,0.78110576020522,0.785186239794779,0.798996,0.797727175663191,0.800264824336809,0.8517165,0.850483667246261,0.852949332753739,0.850905,0.849267397556256,0.852542602443744,0.654782,0.652736805832213,0.656827194167787,0.706721,0.70459058196129,0.708851418038711,0.6552175,0.653166005231529,0.657268994768471,0.773623461492557,0.76243565430922,0.784811268675893,0.792617147243891,0.784597663233007,0.800636631254776,0.845465098985336,0.837693366336788,0.853236831633883,0.843453700777653,0.834882111837077,0.852025289718229,0.773623461492557,0.76243565430922,0.784811268675893,0.698379019792589,0.688296112154962,0.708461927430215,0.645571815241159,0.633734539753983,0.657409090728334,0.793540698210541,0.782564770070483,0.804516626350599,0.806608083709951,0.798719200279704,0.814496967140198,0.859362627111968,0.851688747013797,0.867036507210139,0.859598919568054,0.851309374902344,0.867888464233764,0.665019122351289,0.653360384505746,0.676677860196832,0.715838000102728,0.705987064738946,0.72568893546651,0.66542733113907,0.653761190843077,0.677093471435063,127.684915916667
bky_posdep_negonly_pwr,8,0,0.25,0.25,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.824255,0.809467258995681,0.839042741004319,0.664196,0.652122409274172,0.676269590725827,0.68335,0.670784741519518,0.695915258480483,0.808433,0.798449634922968,0.818416365077031,0.674277,0.661311607800289,0.687242392199711,0.660335,0.6496841513538,0.6709858486462,0.674774,0.661790583543357,0.687757416456644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.82215015315186,0.807372658714534,0.836927647589186,0.658490826118342,0.64622735196611,0.670754300270574,0.676919066962633,0.664167554562149,0.689670579363117,0.807422804187746,0.797433752233656,0.817411856141836,0.673685395321955,0.660710557177726,0.686660233466184,0.660113546094435,0.649450953270396,0.670776138918473,0.674170543925403,0.661178322599527,0.687162765251279,101.626288875
bky_posdep_null_pwr,6,0,0,0.25,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.89289775
bky_posdep_posonly_pwr,7,0.25,0,0.25,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.821387,0.807014030490853,0.835759969509147,0.665641,0.653675262634973,0.677606737365027,0.684214999999999,0.67182767529072,0.696602324709279,0.807656,0.79802076911349,0.81729123088651,0.674796,0.66198591199066,0.68760608800934,0.661808,0.651247106852914,0.672368893147086,0.675408999999999,0.662576612168945,0.688241387831054,0.820442672231592,0.806058172181258,0.834827172281925,0.660349140006658,0.648184353077,0.672513926936316,0.678315792130852,0.665720199572923,0.690911384688782,0.807812546234303,0.798153148491822,0.817471943976784,0.820442672231592,0.806058172181258,0.834827172281925,0.662067176764494,0.651512687327422,0.672621666201565,0.675556633638518,0.662722215740725,0.688391051536311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.775172666667
bky_posdep_unbalanced_pwr,10,0.1,0.4,0.25,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.8277,0.822197530408695,0.833202469591304,0.792943,0.787401052379642,0.798484947620358,0.843083,0.837489192632408,0.848676807367592,0.8657635,0.861431793337784,0.870095206662216,0.7029235,0.696497632814617,0.709349367185383,0.726924,0.720978021841477,0.732869978158523,0.703708,0.697273215624191,0.710142784375809,0.614659325412367,0.601667870745008,0.627650780079726,0.825527711935703,0.817492242909367,0.833563180962039,0.88916111632379,0.881429864374775,0.896892368272805,0.726645278388152,0.716315343872906,0.736975212903399,0.614659325412367,0.601667870745008,0.627650780079726,0.578532403512786,0.567926563146124,0.589138243879448,0.489011396052867,0.476658216419364,0.501364575686371,0.881621499476409,0.871793519896772,0.891449479056046,0.785525658132516,0.776758815250787,0.794292501014245,0.832376728626621,0.823616173461402,0.841137283791841,0.901372801001533,0.893671222458829,0.909074379544237,0.756866607367785,0.745975699889712,0.767757514845857,0.764531834024032,0.754745904541556,0.774317763506508,0.757815981157474,0.746913855266831,0.768718107048116,125.222846541667
