Row,scenario,fracPos,fracNeg,rho,FDRmethod,numTests,numRealizations,effectSize,CImethod,q,alpha,seed,BothSides_canonical_mean,BothSides_canonical_lower,BothSides_canonical_upper,BothSides_combined_mean,BothSides_combined_lower,BothSides_combined_upper,BothSides_twotailed_mean,BothSides_twotailed_lower,BothSides_twotailed_upper,BothSides_split2tail_mean,BothSides_split2tail_lower,BothSides_split2tail_upper,BothSides_old_mean,BothSides_old_lower,BothSides_old_upper,BothSides_question11_mean,BothSides_question11_lower,BothSides_question11_upper,BothSides_question12_mean,BothSides_question12_lower,BothSides_question12_upper,PosSide_canonical_mean,PosSide_canonical_lower,PosSide_canonical_upper,PosSide_combined_mean,PosSide_combined_lower,PosSide_combined_upper,PosSide_twotailed_mean,PosSide_twotailed_lower,PosSide_twotailed_upper,PosSide_split2tail_mean,PosSide_split2tail_lower,PosSide_split2tail_upper,PosSide_old_mean,PosSide_old_lower,PosSide_old_upper,PosSide_question11_mean,PosSide_question11_lower,PosSide_question11_upper,PosSide_question12_mean,PosSide_question12_lower,PosSide_question12_upper,NegSide_canonical_mean,NegSide_canonical_lower,NegSide_canonical_upper,NegSide_combined_mean,NegSide_combined_lower,NegSide_combined_upper,NegSide_twotailed_mean,NegSide_twotailed_lower,NegSide_twotailed_upper,NegSide_split2tail_mean,NegSide_split2tail_lower,NegSide_split2tail_upper,NegSide_old_mean,NegSide_old_lower,NegSide_old_upper,NegSide_question11_mean,NegSide_question11_lower,NegSide_question11_upper,NegSide_question12_mean,NegSide_question12_lower,NegSide_question12_upper,elapsed
bh_indep_balanced_fdp,4,0.25,0.25,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0259147032641184,0.0256720608491891,0.0261573456790477,0.0258799857820131,0.0256373025171289,0.0261226690468973,0.0258799857820131,0.0256373025171289,0.0261226690468973,0.0258955630680617,0.0256529371632723,0.0261381889728512,0.0136814456053608,0.0134928413930689,0.0138700498176527,0.0136575414647484,0.0134688999842898,0.0138461829452071,0.0136525247492983,0.0134639241602772,0.0138411253383195,0.0250581784080714,0.024710683918848,0.0254056728972949,0.0250680341768784,0.0247259260144221,0.0254101423393347,0.0250680341768784,0.0247259260144221,0.0254101423393347,0.0250943813660535,0.0247467474945189,0.0254420152375881,0.0127695707299711,0.012498806855357,0.0130403346045852,0.0127467618967594,0.0124771756708582,0.0130163481226606,0.0127435230067857,0.0124729215985464,0.0130141244150251,0.0266837347776166,0.0263412297815967,0.0270262397736365,0.0266361051301126,0.0262963837896404,0.0269758264705849,0.0266361051301126,0.0262963837896404,0.0269758264705849,0.0266118966511567,0.0262719099398171,0.0269518833624963,0.0145420199576371,0.0142697630738819,0.0148142768413923,0.0145190662638975,0.0142466553620428,0.0147914771657521,0.0145100082739977,0.0142378459084106,0.0147821706395849,3.058173375
bh_indep_negonly_fdp,3,0,0.25,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.039161559841397,0.0387213999718718,0.0396017197109221,0.0396107350742778,0.0391470688559413,0.0400744012926143,0.0396107350742778,0.0391470688559413,0.0400744012926143,0.031805843704601,0.0314008254426292,0.0322108619665729,0.0205559758465672,0.0202095870596493,0.020902364633485,0.016806630684699,0.0164875594733801,0.017125701896018,0.0205150965533453,0.0201693578841398,0.0208608352225508,0.0395,0.0309613556187091,0.0480386443812909,0.999,0.997614442868295,1.00038555713171,0.999,0.997614442868295,1.00038555713171,0.0505,0.0409008038186808,0.0600991961813192,0.016,0.0104995371665472,0.0215004628334528,0.0245,0.017722986152937,0.031277013847063,0.016,0.0104995371665472,0.0215004628334528,0.0390553525995707,0.0386167498579251,0.0394939553412163,0.0208207214411445,0.0204719956108101,0.0211694472714789,0.0208207214411445,0.0204719956108101,0.0211694472714789,0.0316562887026285,0.0312535987484742,0.0320589786567829,0.0205051052168317,0.0201593561577281,0.0208508542759353,0.0167213795118876,0.0164032432871304,0.0170395157366448,0.0204641803433716,0.0201190764752661,0.0208092842114772,3.06674933333333
bh_indep_null_fdp,1,0,0,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.09,0.077454625078405,0.102545374921595,0.04,0.0314097202717122,0.0485902797282878,0.04,0.0314097202717122,0.0485902797282878,0.0885,0.0760493602932991,0.100950639706701,0.0395,0.0309613556187091,0.0480386443812909,0.0395,0.0309613556187091,0.0480386443812909,0.0395,0.0309613556187091,0.0480386443812909,0.046,0.0368167840507121,0.0551832159492879,0.0215,0.0151416952595747,0.0278583047404253,0.0215,0.0151416952595747,0.0278583047404253,0.0445,0.0354606532735919,0.0535393467264081,0.02,0.0138628077260602,0.0261371922739398,0.0195,0.0134384624671529,0.0255615375328471,0.02,0.0138628077260602,0.0261371922739398,0.046,0.0368167840507121,0.0551832159492879,0.0205,0.0142881516512901,0.0267118483487099,0.0205,0.0142881516512901,0.0267118483487099,0.046,0.0368167840507121,0.0551832159492879,0.02,0.0138628077260602,0.0261371922739398,0.0205,0.0142881516512901,0.0267118483487099,0.02,0.0138628077260602,0.0261371922739398,3.20293104166667
bh_indep_posonly_fdp,2,0.25,0,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0375602366357146,0.0371372525790744,0.0379832206923549,0.0376813023516164,0.0372169484313519,0.038145656271881,0.0376813023516164,0.0372169484313519,0.038145656271881,0.030210971094166,0.0298235082432336,0.0305984339450983,0.0188181036143327,0.018492457742856,0.0191437494858094,0.015045678996747,0.014737551052623,0.015353806940871,0.0187838753322396,0.0184588872861946,0.0191088633782847,0.0374524887698803,0.0370291235341143,0.0378758540056464,0.0191001232600823,0.0187711775128134,0.0194290690073511,0.0191001232600823,0.0187711775128134,0.0194290690073511,0.0300677660183424,0.0296803544669989,0.0304551775696859,0.0187499975822507,0.0184244611303655,0.0190755340341358,0.0149502937664943,0.0146428055579378,0.0152577819750509,0.0187157092352466,0.0183908501981167,0.0190405682723766,0.04,0.0314097202717122,0.0485902797282878,0.996,0.993233049697264,0.998766950302736,0.996,0.993233049697264,0.998766950302736,0.0495,0.0399913173311165,0.0590086826688835,0.0225,0.015998832792771,0.029001167207229,0.029,0.0216438545484803,0.0363561454515198,0.0225,0.015998832792771,0.029001167207229,3.078669375
bh_indep_unbalanced_fdp,5,0.1,0.4,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0260212476647986,0.0257849925274807,0.0262575028021165,0.0261500728158567,0.0259056429153481,0.0263945027163652,0.0261500728158567,0.0259056429153481,0.0263945027163652,0.0232522518784814,0.0230204200294771,0.0234840837274858,0.0136787473635132,0.0134943164470013,0.0138631782800252,0.0120834793179892,0.0119051936261566,0.0122617650098217,0.0136380500968715,0.0134540562518763,0.0138220439418667,0.0249495962946763,0.0243453684944799,0.0255538240948727,0.060310378446942,0.059501400347145,0.061119356546739,0.060310378446942,0.059501400347145,0.061119356546739,0.035700345565267,0.0350237354395751,0.0363769556909589,0.01223679208198,0.0117515966712416,0.0127219874927185,0.01765188594211,0.0171125454594661,0.018191226424754,0.0122280543182939,0.0117427217499648,0.012713386886623,0.0261762007016159,0.0259166737514902,0.0264357276517417,0.0171491009254147,0.0169286586231381,0.0173695432276912,0.0171491009254147,0.0169286586231381,0.0173695432276912,0.0204933667506999,0.020255975349173,0.0207307581522268,0.0138950715267997,0.0136945481682174,0.0140955948853821,0.0108969111144905,0.0107108422946761,0.0110829799343048,0.0138489988074368,0.0136489918907634,0.0140490057241103,3.05446916666667
bh_posdep_balanced_fdp,9,0.25,0.25,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0368282481243658,0.0346604266056462,0.0389960696430855,0.0265210088854589,0.0251817853015376,0.0278602324693801,0.0265210088854589,0.0251817853015376,0.0278602324693801,0.0287669249827484,0.0271529115005098,0.030380938464987,0.0208875641778775,0.0194427787218248,0.0223323496339302,0.0160674503995969,0.0149867381180238,0.0171481626811701,0.0208342848636395,0.0193938204060587,0.0222747493212202,0.0238690870517873,0.0220411939976414,0.0256969801059332,0.0190951536268409,0.0177617159303371,0.0204285913233446,0.0190951536268409,0.0177617159303371,0.0204285913233446,0.0199127704511133,0.0184619071898143,0.0213636337124123,0.0119814409855258,0.0108365891363273,0.0131262928347244,0.00963914418666671,0.00875537562383358,0.0105229127494998,0.011954877071879,0.0108126476562619,0.0130971064874962,0.0269783608335164,0.0250729222403217,0.0288837994267111,0.0218380723445432,0.0204858056216269,0.0231903390674595,0.0218380723445432,0.0204858056216269,0.0231903390674595,0.0227228150771344,0.0212421458353918,0.0242034843188771,0.0146484276493421,0.0134930940957858,0.0158037612028984,0.0121678522586744,0.0112839673007924,0.0130517372165563,0.0146104134819463,0.0134591490870083,0.0157616778768844,2.96687454166667
bh_posdep_negonly_fdp,8,0,0.25,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0454050358374805,0.0417031487560101,0.0491069229189509,0.0423254279938028,0.0393438531674586,0.0453070028201469,0.0423254279938028,0.0393438531674586,0.0453070028201469,0.0287676837255488,0.0264913549556787,0.0310440124954189,0.0264268309903188,0.0232270850248288,0.0296265769558087,0.0169590931613134,0.0149061824161736,0.0190120039064532,0.0263634307474236,0.023166364312024,0.0295604971828232,0.0335,0.0256120340600888,0.0413879659399112,0.6945,0.674307809898837,0.714692190101163,0.6945,0.674307809898837,0.714692190101163,0.0305,0.0229618370651845,0.0380381629348155,0.017,0.0113331343884613,0.0226668656115387,0.0145,0.00925972583463697,0.019740274165363,0.017,0.0113331343884613,0.0226668656115387,0.0401491790883299,0.0373510960394427,0.0429472621372171,0.021607080303404,0.0198409033804814,0.0233732572263266,0.021607080303404,0.0198409033804814,0.0233732572263266,0.0269299504778603,0.0250771344030377,0.0287827665526828,0.0216158229011246,0.019843693823363,0.0233879519788861,0.0143034503470946,0.0131781899291762,0.0154287107650131,0.0215524226582294,0.019785468014628,0.0233193773018308,3.011106125
bh_posdep_null_fdp,6,0,0,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0785,0.0667097180153326,0.0902902819846674,0.0445,0.0354606532735919,0.0535393467264081,0.0445,0.0354606532735919,0.0535393467264081,0.055,0.0450060092541416,0.0649939907458584,0.0445,0.0354606532735919,0.0535393467264081,0.031,0.0234022599686349,0.0385977400313651,0.0445,0.0354606532735919,0.0535393467264081,0.039,0.030513361732409,0.047486638267591,0.0225,0.015998832792771,0.029001167207229,0.0225,0.015998832792771,0.029001167207229,0.0275,0.0203310946602808,0.0346689053397192,0.0225,0.015998832792771,0.029001167207229,0.017,0.0113331343884613,0.0226668656115387,0.0225,0.015998832792771,0.029001167207229,0.0395,0.0309613556187091,0.0480386443812909,0.022,0.0155698298983,0.0284301701017,0.022,0.0155698298983,0.0284301701017,0.0275,0.0203310946602808,0.0346689053397192,0.022,0.0155698298983,0.0284301701017,0.014,0.0088495619325562,0.0191504380674438,0.022,0.0155698298983,0.0284301701017,3.11593533333333
bh_posdep_posonly_fdp,7,0.25,0,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0406685976696961,0.0369728699870251,0.0443643253523672,0.0380714974289345,0.0352034798324487,0.0409395150254204,0.0380714974289345,0.0352034798324487,0.0409395150254204,0.0247821470151312,0.0225439180679669,0.0270203759622955,0.0217157590705191,0.0188497131880723,0.024581804952966,0.0127924989641874,0.0111803441607602,0.0144046537676147,0.0216656507024757,0.0188012168398297,0.0245300845651217,0.0348549981143417,0.0322964523395169,0.0374135438891664,0.0175082770524543,0.0159415516247697,0.0190750024801388,0.0175082770524543,0.0159415516247697,0.0190750024801388,0.0225611937474514,0.0209040756272078,0.0242183118676951,0.0175220081939485,0.0159518305891727,0.0190921857987242,0.0110677221631522,0.0100692683828266,0.0120661759434777,0.017471899825905,0.0159049242651489,0.0190388753866612,0.035,0.0269436305708675,0.0430563694291325,0.699,0.67889224756315,0.71910775243685,0.699,0.67889224756315,0.71910775243685,0.026,0.0190239779222221,0.0329760220777779,0.0185,0.0125929219375103,0.0244070780624897,0.0155,0.0100847887505674,0.0209152112494326,0.0185,0.0125929219375103,0.0244070780624897,3.00871233333333
bh_posdep_unbalanced_fdp,10,0.1,0.4,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0320949165492814,0.0302025267584365,0.0339873063401262,0.0251917990191481,0.0239676551839444,0.0264159428543518,0.0251917990191481,0.0239676551839444,0.0264159428543518,0.0243794236579102,0.0229003995666662,0.0258584477491542,0.0180983114904157,0.0168108603725349,0.0193857626082966,0.013941730575165,0.0128922258428176,0.0149912353075123,0.0180423725961661,0.0167568637348305,0.0193278814575018,0.0232095507297789,0.021077388471887,0.0253417129876708,0.0371254744989128,0.0351343495995317,0.039116599398294,0.0371254744989128,0.0351343495995317,0.039116599398294,0.0255471948849272,0.0235705893036859,0.0275238004661684,0.0115283592526833,0.0102455432515856,0.012811175253781,0.0122471783874922,0.0110543380949881,0.0134400186799963,0.0115161654950913,0.0102339424206839,0.0127983885694986,0.0241298912600249,0.0226668388032627,0.0255929437167871,0.0143738848086099,0.0134433730984261,0.0153043965187937,0.0143738848086099,0.0134433730984261,0.0153043965187937,0.0164743671042083,0.0154776187009664,0.0174711155074502,0.0125559004923994,0.0116727290428157,0.013439071941983,0.00862548290287516,0.00802869958920861,0.00922226621654171,0.012502359324628,0.0116224363829802,0.0133822822662757,2.97114391666667
