Row,scenario,fracPos,fracNeg,rho,FDRmethod,numTests,numRealizations,effectSize,CImethod,q,alpha,seed,BothSides_canonical_mean,BothSides_canonical_lower,BothSides_canonical_upper,BothSides_combined_mean,BothSides_combined_lower,BothSides_combined_upper,BothSides_twotailed_mean,BothSides_twotailed_lower,BothSides_twotailed_upper,BothSides_split2tail_mean,BothSides_split2tail_lower,BothSides_split2tail_upper,BothSides_canonicalbb_mean,BothSides_canonicalbb_lower,BothSides_canonicalbb_upper,BothSides_split2tailbb_mean,BothSides_split2tailbb_lower,BothSides_split2tailbb_upper,PosSide_canonical_mean,PosSide_canonical_lower,PosSide_canonical_upper,PosSide_combined_mean,PosSide_combined_lower,PosSide_combined_upper,PosSide_twotailed_mean,PosSide_twotailed_lower,PosSide_twotailed_upper,PosSide_split2tail_mean,PosSide_split2tail_lower,PosSide_split2tail_upper,PosSide_canonicalbb_mean,PosSide_canonicalbb_lower,PosSide_canonicalbb_upper,PosSide_split2tailbb_mean,PosSide_split2tailbb_lower,PosSide_split2tailbb_upper,NegSide_canonical_mean,NegSide_canonical_lower,NegSide_canonical_upper,NegSide_combined_mean,NegSide_combined_lower,NegSide_combined_upper,NegSide_twotailed_mean,NegSide_twotailed_lower,NegSide_twotailed_upper,NegSide_split2tail_mean,NegSide_split2tail_lower,NegSide_split2tail_upper,NegSide_canonicalbb_mean,NegSide_canonicalbb_lower,NegSide_canonicalbb_upper,NegSide_split2tailbb_mean,NegSide_split2tailbb_lower,NegSide_split2tailbb_upper,elapsed
bh_indep_balanced_fdp,4,0.25,0.25,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0261220719066292,0.0258702292595004,0.0263739145537581,0.0260925520274977,0.0258404524213813,0.026344651633614,0.0260925520274977,0.0258404524213813,0.026344651633614,0.0261098550051958,0.0258588420920149,0.0263608679183767,0.0261220719066292,0.0258702292595004,0.0263739145537581,0.0261098550051958,0.0258588420920149,0.0263608679183767,0.0250396596610548,0.0246776877695372,0.0254016315525723,0.0250336001873226,0.0246757712763113,0.0253914290983338,0.0250336001873226,0.0246757712763113,0.0253914290983338,0.0250422948781658,0.0246811971033669,0.0254033926529647,0.0250396596610548,0.0246776877695372,0.0254016315525723,0.0250422948781658,0.0246811971033669,0.0254033926529647,0.0271240856497245,0.0267645174209202,0.0274836538785288,0.0271027747275906,0.0267445122650098,0.0274610371901713,0.0271027747275906,0.0267445122650098,0.0274610371901713,0.027100311052721,0.0267422304726699,0.0274583916327722,0.0271240856497245,0.0267645174209202,0.0274836538785288,0.027100311052721,0.0267422304726699,0.0274583916327722,4.41843525
bh_indep_negonly_fdp,3,0,0.25,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0400664168843015,0.0396292851030393,0.0405035486655637,0.0397373333440581,0.0392777964214277,0.0401968702666885,0.0397373333440581,0.0392777964214277,0.0401968702666885,0.0323461265838363,0.0319466513803933,0.0327456017872793,0.0219748197378076,0.0215831173556058,0.0223665221200094,0.018207668516983,0.0178424271773628,0.0185729098566032,0.047,0.0377223694709817,0.0562776305290183,0.9985,0.996803470725234,1.00019652927477,0.9985,0.996803470725234,1.00019652927477,0.055,0.0450060092541416,0.0649939907458584,0.047,0.0377223694709817,0.0562776305290183,0.055,0.0450060092541416,0.0649939907458584,0.03994011054853,0.0395031816935954,0.0403770394034646,0.0213109578668743,0.0209716760607943,0.0216502396729542,0.0213109578668743,0.0209716760607943,0.0216502396729542,0.0321907508011466,0.0317919741838959,0.0325895274183973,0.0218485134020361,0.0214684200693953,0.0222286067346769,0.0180522927342933,0.0176995881126413,0.0184049973559452,4.02350533333333
bh_indep_null_fdp,1,0,0,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.091,0.0783920542417641,0.103607945758236,0.0525,0.0427228797876995,0.0622771202123005,0.0525,0.0427228797876995,0.0622771202123005,0.091,0.0783920542417641,0.103607945758236,0.0525,0.0427228797876995,0.0622771202123005,0.0525,0.0427228797876995,0.0622771202123005,0.0475,0.0381755979550355,0.0568244020449645,0.028,0.0207680761900445,0.0352319238099555,0.028,0.0207680761900445,0.0352319238099555,0.047,0.0377223694709817,0.0562776305290183,0.028,0.0207680761900445,0.0352319238099555,0.028,0.0207680761900445,0.0352319238099555,0.046,0.0368167840507121,0.0551832159492879,0.027,0.0198947396457569,0.0341052603542431,0.027,0.0198947396457569,0.0341052603542431,0.0465,0.0372694300216792,0.0557305699783208,0.027,0.0198947396457569,0.0341052603542431,0.027,0.0198947396457569,0.0341052603542431,3.56135254166667
bh_indep_posonly_fdp,2,0.25,0,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0377409587554444,0.0373088532989641,0.0381730642119246,0.0375517587147581,0.037091744746078,0.0380117726834383,0.0375517587147581,0.037091744746078,0.0380117726834383,0.0301634279584102,0.0297679880189106,0.0305588678979098,0.019835349894029,0.0194537492678531,0.020216950520205,0.0161210655027914,0.0157709991709749,0.0164711318346078,0.0376251565907182,0.0371933197469253,0.0380569934345111,0.0192417946912172,0.0189067779028087,0.0195768114796256,0.0192417946912172,0.0189067779028087,0.0195768114796256,0.0300108297029199,0.029615904073122,0.0304057553327178,0.0197195477293029,0.019348848807302,0.0200902466513038,0.015968467247301,0.0156309702925821,0.01630596420202,0.042,0.033206756621173,0.050793243378827,0.996,0.993233049697264,0.998766950302736,0.996,0.993233049697264,0.998766950302736,0.051,0.0413559403426397,0.0606440596573603,0.042,0.033206756621173,0.050793243378827,0.051,0.0413559403426397,0.0606440596573603,3.99346608333333
bh_indep_unbalanced_fdp,5,0.1,0.4,0,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0261610188410802,0.0259120141222826,0.0264100235598779,0.0259644601958382,0.0257164076333612,0.0262125127583153,0.0259644601958382,0.0257164076333612,0.0262125127583153,0.0233371398864207,0.0230968729713631,0.0235774068014784,0.0261610188410802,0.0259120141222826,0.0264100235598779,0.0233371398864207,0.0230968729713631,0.0235774068014784,0.0256093894653127,0.025000995352841,0.0262177835777843,0.0601650583751255,0.0593565738007553,0.0609735429494956,0.0601650583751255,0.0593565738007553,0.0609735429494956,0.0361503949585188,0.0354511734782754,0.0368496164387621,0.0256093894653127,0.025000995352841,0.0262177835777843,0.0361503949585188,0.0354511734782754,0.0368496164387621,0.0262138782029051,0.0259387078753418,0.0264890485304684,0.0169509790553956,0.016726964316712,0.0171749937940791,0.0169509790553956,0.016726964316712,0.0171749937940791,0.0204748433323731,0.0202279699833003,0.0207217166814459,0.0262138782029051,0.0259387078753418,0.0264890485304684,0.0204748433323731,0.0202279699833003,0.0207217166814459,4.40563075
bh_posdep_balanced_fdp,9,0.25,0.25,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0379121478881751,0.0357361375478412,0.040088158228509,0.0272087981175028,0.02583491874325,0.0285826774917555,0.0272087981175028,0.02583491874325,0.0285826774917555,0.029441711266896,0.027807482599426,0.031075939934366,0.0374994567117604,0.0354293464009694,0.0395695670225513,0.0291910728556745,0.0276380564150078,0.0307440892963412,0.0242588821408097,0.0224468192336324,0.026070945047987,0.0193158845525839,0.0180080950634165,0.0206236740417513,0.0193158845525839,0.0180080950634165,0.0206236740417513,0.0201330135586577,0.0187076083602204,0.021558418757095,0.0240965029151112,0.0223319637841136,0.0258610420461088,0.0200726708659924,0.0186649737547428,0.021480367977242,0.0278354528755293,0.0258587499593,0.0298121557917587,0.0224232295127001,0.0209856254781785,0.0238608335472217,0.0224232295127001,0.0209856254781785,0.0238608335472217,0.0233120806759139,0.0217500774456547,0.024874083906173,0.0275851409248131,0.0256852448902323,0.0294850369593939,0.0231217849573577,0.0216302817491476,0.0246132881655677,4.30244929166667
bh_posdep_negonly_fdp,8,0,0.25,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0447786633111852,0.0408560119229517,0.0487013146994186,0.0418787723055879,0.0388284860728214,0.0449290585383544,0.0418787723055879,0.0388284860728214,0.0449290585383544,0.0286401526901456,0.0261409641342287,0.0311393412460626,0.0267401417080006,0.0233706186712568,0.0301096647447444,0.0164628798398535,0.0143686183375483,0.0185571413421587,0.027,0.0198947396457569,0.0341052603542431,0.6965,0.676345055710776,0.716654944289224,0.6965,0.676345055710776,0.716654944289224,0.0215,0.0151416952595747,0.0278583047404253,0.027,0.0198947396457569,0.0341052603542431,0.0215,0.0151416952595747,0.0278583047404253,0.0388646387812426,0.03613700622925,0.0415922713332353,0.0208549431329008,0.0191241590038937,0.0225857272619079,0.0208549431329008,0.0191241590038937,0.0225857272619079,0.0260061759590794,0.0241922226423953,0.0278201292757635,0.0208261171780581,0.0190950891335304,0.0225571452225857,0.0138289031087873,0.012685601162845,0.0149722050547296,3.95530458333333
bh_posdep_null_fdp,6,0,0,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.089,0.0765176635110392,0.101482336488961,0.043,0.0341073358489683,0.0518926641510317,0.043,0.0341073358489683,0.0518926641510317,0.0505,0.0409008038186808,0.0600991961813192,0.043,0.0341073358489683,0.0518926641510317,0.026,0.0190239779222221,0.0329760220777779,0.044,0.0350092281251111,0.0529907718748889,0.0215,0.0151416952595747,0.0278583047404253,0.0215,0.0151416952595747,0.0278583047404253,0.0255,0.0185896076503585,0.0324103923496415,0.0215,0.0151416952595747,0.0278583047404253,0.016,0.0104995371665472,0.0215004628334528,0.045,0.0359123909234041,0.0540876090765959,0.0215,0.0151416952595747,0.0278583047404253,0.0215,0.0151416952595747,0.0278583047404253,0.025,0.018155936880975,0.031844063119025,0.0215,0.0151416952595747,0.0278583047404253,0.01,0.0056382648488015,0.0143617351511985,3.50811808333333
bh_posdep_posonly_fdp,7,0.25,0,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0431904032621845,0.0395556257116923,0.0468251808126768,0.0387995752685987,0.0360581592384385,0.0415409912987589,0.0387995752685987,0.0360581592384385,0.0415409912987589,0.0272287049801383,0.0248981166887816,0.0295592932714949,0.0240643044544412,0.0211053983173565,0.0270232105915259,0.0144494628487344,0.0125908464854763,0.0163080792119925,0.038839017411823,0.0360734735341416,0.0416045612895043,0.0197154629486706,0.0180207495030701,0.0214101763942712,0.0197154629486706,0.0180207495030701,0.0214101763942712,0.0250960914677359,0.0233004856947396,0.0268916972407322,0.0197129186040797,0.0180182548776818,0.0214075823304776,0.012316849336332,0.011248079606216,0.013385619066448,0.026,0.0190239779222221,0.0329760220777779,0.686,0.665654490230267,0.706345509769733,0.686,0.665654490230267,0.706345509769733,0.0225,0.015998832792771,0.029001167207229,0.026,0.0190239779222221,0.0329760220777779,0.0225,0.015998832792771,0.029001167207229,3.944624125
bh_posdep_unbalanced_fdp,10,0.1,0.4,0.25,BH1995,2000,2000,3,Wald,0.05,0.05,shuffle,0.0344222193165718,0.03228058693721,0.0365638516959337,0.026979234440428,0.0255743562022075,0.0283841126786485,0.026979234440428,0.0255743562022075,0.0283841126786485,0.026171764942619,0.0244974647297682,0.0278460651554697,0.0336790992556424,0.0316756338045278,0.0356825647067571,0.0259453516191831,0.0243609026866482,0.0275298005517181,0.0240405179599397,0.0218731980512173,0.0262078378686622,0.0378685602805617,0.0358189726665849,0.0399181478945384,0.0378685602805617,0.0358189726665849,0.0399181478945384,0.0264926477977193,0.0244685893522726,0.028516706243166,0.0238480136867732,0.0217524672541628,0.0259435601193835,0.0263380122877525,0.0243722707841713,0.0283037537913337,0.0261703479816333,0.0244307814032557,0.0279099145600109,0.0158157018546099,0.0146716121360845,0.0169597915731353,0.0158157018546099,0.0146716121360845,0.0169597915731353,0.0179146757911176,0.016703054676509,0.0191262969057261,0.0256197321938705,0.023966069392824,0.0272733949949169,0.0178428979776485,0.01665721194721,0.019028584008087,4.33163808333333
