Row,scenario,fracPos,fracNeg,rho,FDRmethod,numTests,numRealizations,effectSize,CImethod,q,alpha,seed,BothSides_canonical_mean,BothSides_canonical_lower,BothSides_canonical_upper,BothSides_combined_mean,BothSides_combined_lower,BothSides_combined_upper,BothSides_twotailed_mean,BothSides_twotailed_lower,BothSides_twotailed_upper,BothSides_split2tail_mean,BothSides_split2tail_lower,BothSides_split2tail_upper,BothSides_canonicalbb_mean,BothSides_canonicalbb_lower,BothSides_canonicalbb_upper,BothSides_split2tailbb_mean,BothSides_split2tailbb_lower,BothSides_split2tailbb_upper,PosSide_canonical_mean,PosSide_canonical_lower,PosSide_canonical_upper,PosSide_combined_mean,PosSide_combined_lower,PosSide_combined_upper,PosSide_twotailed_mean,PosSide_twotailed_lower,PosSide_twotailed_upper,PosSide_split2tail_mean,PosSide_split2tail_lower,PosSide_split2tail_upper,PosSide_canonicalbb_mean,PosSide_canonicalbb_lower,PosSide_canonicalbb_upper,PosSide_split2tailbb_mean,PosSide_split2tailbb_lower,PosSide_split2tailbb_upper,NegSide_canonical_mean,NegSide_canonical_lower,NegSide_canonical_upper,NegSide_combined_mean,NegSide_combined_lower,NegSide_combined_upper,NegSide_twotailed_mean,NegSide_twotailed_lower,NegSide_twotailed_upper,NegSide_split2tail_mean,NegSide_split2tail_lower,NegSide_split2tail_upper,NegSide_canonicalbb_mean,NegSide_canonicalbb_lower,NegSide_canonicalbb_upper,NegSide_split2tailbb_mean,NegSide_split2tailbb_lower,NegSide_split2tailbb_upper,elapsed
bky_indep_balanced_pwr,4,0.25,0.25,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.8002555,0.799441951419201,0.8010690485808,0.800302,0.799488775593164,0.801115224406837,0.852818,0.851972685133855,0.853663314866145,0.852737500000001,0.85189190701597,0.853583092984031,0.8002555,0.799441951419201,0.8010690485808,0.852737500000001,0.85189190701597,0.853583092984031,0.800590885375833,0.799474347896267,0.801707422855399,0.800747093653998,0.799740769751035,0.80175341755696,0.853269495783179,0.852257013174584,0.854281978391774,0.853072468785425,0.851898263677216,0.854246673893634,0.800590885375833,0.799474347896267,0.801707422855399,0.853072468785425,0.851898263677216,0.854246673893634,0.802046035322276,0.800895255825343,0.803196814819209,0.801983050803551,0.800941746519495,0.803024355087608,0.85463234412906,0.85356994957138,0.85569473868674,0.854668132464739,0.85344630676323,0.855889958166247,0.802046035322276,0.800895255825343,0.803196814819209,0.854668132464739,0.85344630676323,0.855889958166247,127.842212208333
bky_indep_negonly_pwr,3,0,0.25,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.817017,0.815858861219186,0.818175138780814,0.68498,0.683645969212081,0.686314030787918,0.704612,0.703242683846845,0.705981316153155,0.803128,0.801902796440686,0.804353203559314,0.692943,0.691019333512923,0.694866666487077,0.678949,0.6767256161894,0.6811723838106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.818059214562808,0.816900320861303,0.819218108264313,0.671840633510591,0.670570619805354,0.673110647215827,0.689621654035697,0.688329570217091,0.690913737854302,0.804128373508012,0.802901797013343,0.805354950002681,0.693816736753608,0.69189915331759,0.695734320189625,0.67978080844998,0.677564096849035,0.681997520050926,103.788895958333
bky_indep_null_pwr,1,0,0,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.7036262083333
bky_indep_posonly_pwr,2,0.25,0,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.815166,0.814025079308207,0.816306920691793,0.683206,0.681952902020161,0.684459097979839,0.702845,0.701537484379705,0.704152515620295,0.801121,0.799910409350371,0.802331590649628,0.693808,0.691803869635939,0.69581213036406,0.67858,0.676354127421717,0.680805872578282,0.816185376176499,0.81504637097979,0.817324381373208,0.670159141848117,0.668959336874884,0.671358946821351,0.687886595827777,0.686646556739979,0.689126634915575,0.80208453180921,0.800874991796956,0.803294071821465,0.69466084112139,0.69266723121359,0.69665445102919,0.679374992254874,0.677162128551487,0.681587855958261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103.85501925
bky_indep_unbalanced_pwr,5,0.1,0.4,0,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.841200500000001,0.840464036536052,0.84193696346395,0.8001605,0.799368707367926,0.800952292632074,0.8529705,0.852145815401618,0.853795184598383,0.8702785,0.86947418926012,0.871082810739881,0.841200500000001,0.840464036536052,0.84193696346395,0.8702785,0.86947418926012,0.871082810739881,0.630163825429382,0.62812668041749,0.632200970441275,0.836462453759852,0.83483823494636,0.838086672573345,0.906497630660867,0.90478066227531,0.908214599046425,0.72967712416103,0.72760954266404,0.731744705658019,0.630163825429382,0.62812668041749,0.632200970441275,0.72967712416103,0.72760954266404,0.731744705658019,0.895356632333205,0.894582720137654,0.896130544528757,0.79240773677352,0.791601131171745,0.793214342375295,0.840997688027918,0.840180962104234,0.841814413951601,0.906872174124028,0.905999413801789,0.907744934446267,0.895356632333205,0.894582720137654,0.896130544528757,0.906872174124028,0.905999413801789,0.907744934446267,126.006601458333
bky_posdep_balanced_pwr,9,0.25,0.25,0.25,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.7845005,0.782548176038671,0.786452823961329,0.799884,0.798608604744654,0.801159395255345,0.8523345,0.851135033159242,0.853533966840758,0.850574,0.848993328882074,0.852154671117926,0.7842465,0.782306826150573,0.786186173849427,0.850574,0.848993328882074,0.852154671117926,0.783588516217856,0.772488721735596,0.794688310700116,0.799502406491183,0.791511868733964,0.807492944248402,0.851769571940875,0.84400608846258,0.859533055419171,0.849043322150482,0.840422234942321,0.857664409358643,0.783588516217856,0.772488721735596,0.794688310700116,0.849043322150482,0.840422234942321,0.857664409358643,0.786243536615989,0.775053398820193,0.797433674411785,0.801472284123613,0.793454185514195,0.809490382733031,0.854268447938894,0.846472906454591,0.862063989423198,0.853287266661988,0.844720126212221,0.861854407111755,0.785735536615989,0.774622752887797,0.796848320344181,0.853287266661988,0.844720126212221,0.861854407111755,127.440435541667
bky_posdep_negonly_pwr,8,0,0.25,0.25,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.810541,0.797089240297531,0.823992759702469,0.656206,0.644512536809077,0.667899463190922,0.67474,0.66260932965393,0.68687067034607,0.801654,0.792015180323979,0.811292819676021,0.671604,0.659158257596349,0.684049742403651,0.66075,0.65082392984764,0.67067607015236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.809582213656665,0.796081194267719,0.823083233045611,0.650610109558189,0.638715499405282,0.662504719711095,0.668505695040117,0.656165598859902,0.680845791220333,0.801595015153112,0.791903377162205,0.811286653144019,0.670838412390077,0.65834768438851,0.683329140391643,0.660531780568279,0.650562726125153,0.670500835011406,105.533332125
bky_posdep_null_pwr,6,0,0,0.25,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.0141692083333
bky_posdep_posonly_pwr,7,0.25,0,0.25,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.807171,0.792365253355094,0.821976746644906,0.650078,0.637872163131537,0.662283836868463,0.669171,0.65618329623273,0.682158703767269,0.796623000000001,0.786200067968611,0.80704593203139,0.66722,0.654107532904362,0.680332467095638,0.65602,0.645560774806109,0.666479225193892,0.806001547340658,0.791186558344847,0.82081653633647,0.644454249578705,0.632045587955572,0.656862911201838,0.662945074130372,0.649756172860528,0.676133975400217,0.796638340298156,0.786173869251723,0.807102811344589,0.666298956092284,0.653125373224006,0.679472538960563,0.655969246845636,0.645484251938225,0.666454241753047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,105.522686708333
bky_posdep_unbalanced_pwr,10,0.1,0.4,0.25,BKY2006,2000,2000,3,Wald,0.05,0.05,shuffle,0.8266915,0.821047518573577,0.832335481426422,0.791244,0.785602061999731,0.796885938000269,0.8413725,0.835635036427446,0.847109963572553,0.8642825,0.859764097860267,0.868800902139733,0.8258625,0.820336562259712,0.831388437740287,0.8642825,0.859764097860267,0.868800902139733,0.616579408154886,0.603149691339008,0.630009124970764,0.826619731620214,0.818334644386508,0.834904818853919,0.890186899649072,0.882234341206988,0.898139458091157,0.729519339172588,0.718865176233266,0.74017350211191,0.616579408154886,0.603149691339008,0.630009124970764,0.729519339172588,0.718865176233266,0.74017350211191,0.87986439211516,0.869758581910593,0.889970202319727,0.783131249580507,0.77417820070639,0.792084298454624,0.829986458742869,0.820991391355853,0.838981526129885,0.898784475586879,0.890762332470977,0.90680661870278,0.87882814211516,0.868855387293165,0.888800896937154,0.898784475586879,0.890762332470977,0.90680661870278,126.216571708333
